texto,estrela,positivo,categoria,preco,frete,dias_entrega,dias_estimado,atrasou
Gostei da agilidade na entrega.,5,1,fashion_bags_accessories,19.9,16.79,16,30,0
"Produto bom, frete caro e demorado",3,0,desconhecida,48.5,18.23,16,22,0
"O produto foi entregue dentro do prazo, Porém veio faltando um ítem. Imediatamente entrei em contato com a lannister que me disseram entrar em.contato com vcs e me retornar. Mas até agora nada!",2,0,telephony,170.0,25.54,11,18,0
"",5,1,bed_bath_table,19.9,11.85,10,22,0
"comprei 2 celular e so madarm 1, e nato fiscal comprando os dois",1,0,telephony,235.9,18.09,13,32,0
COMPREI DOIS TONERES E VEIO UM DE CADA VEZ O QUE ASSUSTOU UM POUCO QUANDO CHEGOU APENAS UM NA PRIMEIRA ENTREGA MAS DEU TUDO CERTO NO FINAL CHEGOU O SEGUNDO PERFEITO E LACRADO,5,1,computers_accessories,149.86,38.6,22,31,0
"Meu pedido era pra ter chegado até no máximo dia 20 de março, hoje já é dia 22 de março e ainda não chegou!!! Estou bastante desepcionado com a loja.",1,0,desconhecida,159.77,27.66,41,32,1
bem comprei um produto que custava 261.00 reais o melhor que eles tinham com o cartao de 32g . e me mandarão o pior que eles tinha era de 140.00 reais que vinha com cartão de 16g resumindo safados.!!!,1,0,computers_accessories,242.01,19.57,8,35,0
"",,0,bed_bath_table,49.95,11.85,15,25,0
Esse creme é maravilhoso ,5,1,health_beauty,159.9,18.37,12,37,0
"",4,1,garden_tools,620.0,21.18,26,37,0
Produto não foi entregue,1,0,food,19.99,8.85,25,19,1
A impressão do quadro é péssima. Detestei e estou tentando fazer a devolução do produto,1,0,furniture_decor,99.9,39.14,15,29,0
"",5,1,electronics,349.9,37.77,19,36,0
"",5,1,watches_gifts,66.89,17.31,9,36,0
Produto bom e de qualidade,5,1,health_beauty,299.9,13.3,8,16,0
"FUI BEM ATENDIDA, O PRODUTO CHEGOU DENTRO DO PRAZO PREVISTO E EU RECOMENDO.",5,1,garden_tools,329.0,17.6,13,26,0
Produto entregue no prazo,5,1,audio,76.89,15.98,5,23,0
"Adorei minha cortina, um material bem bom, veio em perfeito estado. Cor e modelo corretíssimo.Recomendo.",5,1,furniture_decor,189.15,26.16,13,27,0
Infelizmente o relógio é muita clarinho de configurar. E o app é péssimo.,3,0,watches_gifts,189.99,8.59,5,9,0
"",,0,construction_tools_lights,44.9,18.23,15,25,0
não entregaram a mercadoria completa,1,0,auto,559.0,80.98,26,40,0
Frete muito caro...,5,1,electronics,109.9,40.1,7,26,0
"",4,1,health_beauty,63.36,9.38,5,32,0
"",5,1,small_appliances,48.9,17.6,19,23,0
Enfico a qualquer um de meus familiares e amigos ,5,1,bed_bath_table,80.0,11.77,3,13,0
O PRODUTO VEIO COM DEFEITO E NÃO CONSIGO CANCELAR,1,0,electronics,76.0,25.81,17,23,0
Pedi a devolução e já recusei o produto há dias. Mas infelizmente a lannister.com NÃO É um site confiável . ,2,0,housewares,129.99,20.49,17,51,0
"",5,1,pet_shop,88.2,14.61,6,25,0
"baratheon arrasou novamente, entrega produtos excelentes , de qualidade e dentro do prazo.",5,1,telephony,12.99,18.23,11,19,0
"",4,1,telephony,24.9,15.1,8,24,0
"Produto de boa qualidade, recebi dentro do prazo - recomendo.",5,1,toys,129.99,21.75,15,28,0
Gostei muito mas achei caro... achei que viesse mais peças,5,1,baby,67.99,16.45,12,29,0
"",5,1,telephony,18.49,7.39,4,16,0
"A loja atendeu bem, mas o produto comprado não é lá essas coisas!",4,1,bed_bath_table,12.9,15.1,17,26,0
Ainda não recebi meu pedido e nem sei porque eu estou muito insastifeito.,1,0,auto,169.9,26.47,50,36,1
Tem mais de um mês que comprei o produto e ainda não recebi. A gente paga na hora mas ninguém da nem satisfação quanto a entrega. Muita falta de respeito. ,1,0,health_beauty,97.65,18.56,57,22,1
"",5,1,computers_accessories,40.5,12.94,6,29,0
"Produto de qualidade, muito bonito e entrega muito rápida!",4,1,bed_bath_table,195.0,26.21,10,22,0
"",5,1,perfumery,49.9,15.1,7,30,0
Chegou antes do tempo em perfeitas condições,4,1,sports_leisure,296.0,25.72,14,38,0
produto dentro das expectativas.,4,1,bed_bath_table,79.9,27.51,23,31,0
"Muito bom!
Estou recomendando para muitas pessoas: agora mesmo estou repassando para um amigo em Acopiara - CE.
Gostaria de ser um representante aqui na minha cidade.",5,1,health_beauty,122.99,20.05,7,35,0
"",5,1,kitchen_dining_laundry_garden_furniture,29.9,17.09,17,24,0
Será muito bem utilizado nas produções audiovisuais ,4,1,cool_stuff,149.9,34.85,17,42,0
"Ainda não recebi um jogo de banheiro que comprei junto com a colcha de casal, ate o momento foi entregue a colcha e jogo de banheiro nada, estou aguardando uma solução.",1,0,bed_bath_table,58.9,8.07,21,28,0
"O produto na parte de cima pareceu bom, mas a parte de baixo, de borracha sai um cheiro extremamente forte. Não consegui usar no carro, fiquei sufocado. Quimica da borracha é muito forte.",1,0,bed_bath_table,134.0,51.59,13,49,0
COMPRO NA AMERICANA PORQUE É CORRETA NAS ENTREGAS E CONFIÁVEL EM SUAS MERECADORIAS...,5,1,toys,159.9,17.96,25,28,0
"Loja rápida na entrega, indico!",5,1,fashion_bags_accessories,35.0,12.79,6,24,0
"Loja muito atenciosa com o pedido, mandou mensagem no Watts avisando que estaria postando no outro dia.",5,1,baby,127.9,27.22,5,23,0
Não veio o kit de instalação do filtro. Como faço para receber?,3,0,housewares,280.0,9.55,5,14,0
"",5,1,computers_accessories,23.9,12.83,2,8,0
"Relógio lindo, não tiro mais do pulso",5,1,watches_gifts,175.0,19.11,28,23,1
"Produto de excelente qualidade, original..RECOMENDO",5,1,housewares,137.0,65.41,16,24,0
"Entrega rápida, produto bonito ",5,1,furniture_decor,230.0,19.49,6,35,0
"Solicito a troca ,produto com defeito .",1,0,health_beauty,110.0,18.57,8,21,0
O prazo da entrega aconteceu conforme combinado. O produto é bom é deixa o quarto elegante. ,5,1,bed_bath_table,89.9,14.94,4,22,0
Eu pedi 2 itens da compra e me foi enviado apenas um,3,0,bed_bath_table,89.0,13.06,4,14,0
"",4,1,construction_tools_construction,159.99,23.03,4,20,0
"",4,1,perfumery,48.9,15.1,19,26,0
"",5,1,electronics,69.5,16.74,29,22,1
Chegou dentro do prazo. Ficou um pouco menor nada tão significativo. Estou satisfeito com a compra,4,1,consoles_games,24.5,15.1,21,25,0
"",4,1,perfumery,81.45,16.33,14,46,0
"",3,0,cool_stuff,195.9,16.12,24,31,0
"",5,1,bed_bath_table,34.99,13.71,6,26,0
"Ótimo produto.
Excelente parceiro.
",4,1,fashion_bags_accessories,49.9,7.78,3,24,0
Parabéns pelo produto e pela rapidez da entrega. Obrigado. ,5,1,computers_accessories,129.0,19.59,11,29,0
"",5,1,sports_leisure,89.9,42.66,14,35,0
O PRODUTO FOI ENTREGUE BEM ANTES DO PRAZO,4,1,bed_bath_table,199.9,26.24,12,22,0
Na descrição do site tinha mais especificações do produto do que na embalagem.,5,1,furniture_decor,29.9,14.52,13,31,0
"",3,0,bed_bath_table,75.27,16.16,15,20,0
"Sei que não depende só dá loja, mais comprei 3 produtos em diferentes site, comprei e paguei tudo em uma data só, mais a da lojas lannister foi a que mais demorou.",5,1,consoles_games,69.9,21.29,19,29,0
"",3,0,telephony,24.99,15.1,22,32,0
"",5,1,bed_bath_table,19.9,18.24,7,17,0
Show super recomendo,5,1,watches_gifts,105.0,23.89,11,29,0
Assento plástico veio fora de geometria e furos de alojamento dos parafusos fixação não coincidem com furos da estrutura metálica.,3,0,office_furniture,79.98,88.05,32,49,0
"",4,1,furniture_decor,48.0,19.53,13,27,0
"",5,1,pet_shop,110.0,20.26,12,19,0
"Produto entregue antes do prazo, fácil de instalar e todo suporte prestado. Obrigado",5,1,computers_accessories,105.0,9.49,6,13,0
"",4,1,sports_leisure,390.99,16.82,8,22,0
"Após a espera de mais de um mês de espera, a data informada de entrega não foi cumprida.",1,0,computers_accessories,298.13,17.85,28,23,1
"O produto chegou antes do prazo previsto recomendado, muito confiável. ",5,1,stationery,9.9,16.79,18,36,0
"",4,1,housewares,54.9,9.26,6,10,0
"",5,1,health_beauty,58.99,17.66,16,26,0
"O produto chegou certinho e dentro do prazo, tudo como esperado",5,1,garden_tools,102.22,15.6,7,14,0
O botão para abrir o carro não está funcionando.,1,0,auto,249.8,16.5,11,27,0
"Prazo da entrega já venceu, e até agora n chegou minha mercadoria, 2 meses já.",1,0,auto,59.47,26.96,53,47,1
"Entrega rápida , produto de qualidade!",5,1,health_beauty,89.99,10.96,11,25,0
Só testarei o produto após o dia 07/09/2018,5,1,electronics,38.89,22.99,14,22,0
"Pedido ágil e entrega super rapida, muito antes do prazo prometido. Excelente !!!
",5,1,health_beauty,98.9,11.3,6,21,0
"Primeira vez que compro e gostei muito desde do acompanhamento do produto até a entrega . 
Muito bom",4,1,sports_leisure,69.9,8.86,8,19,0
"",5,1,garden_tools,139.99,16.23,8,53,0
Ainda nao instalei recebi ontem,5,1,construction_tools_construction,95.2,18.6,17,39,0
O produto veio com defeito e esse site criou mecanismos pra simplesmente não ter nenhuma responsabilidade no processo! O fornecedor Itap Modas - Itap Moda Eireli ME É UM HORROR!!!,1,0,health_beauty,79.0,16.99,13,40,0
Precisa cumprir as data de entrega.,2,0,cool_stuff,572.0,64.74,23,25,0
Comprei preto veio azul porém não está funcionado foi 1 que veio com defeito ,4,1,air_conditioning,20.0,7.4,2,9,0
"Produto bom, mas o pegador da tampa é de plástico, a dobradiça dela também e ele é bem menor do que parece na foto. No resto é bom.",5,1,housewares,58.9,19.6,6,23,0
"",4,1,fashion_shoes,71.82,13.52,10,30,0
quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,5,1,furniture_decor,69.9,0.0,16,24,0
Comprei este produto para dar um gás a mais nos treinos. Ainda estou testando mas o sabor é agradável e não é muito doce. Ele dissolve bem. Não use anabolizantes. Preserve sua saúde com inteligência!,4,1,sports_leisure,42.9,25.81,8,30,0
Meu produtos veio errado ,1,0,health_beauty,58.99,11.73,3,14,0
Loja boa recomendo,4,1,watches_gifts,209.0,16.21,12,26,0
"",4,1,electronics,30.0,8.72,2,17,0
"",5,1,consoles_games,49.9,34.15,20,30,0
"Chegou aqui ao invés do reparador de pneus, um kit de para brisas, totalmente fora do contexto.
Sem controle de qualidade total.",1,0,auto,36.0,22.85,10,25,0
"nunca tive problemas com a loja.Neste ultimo pedido de 3 itens, apenas 1 chegou. Estou aguardando.",3,0,bed_bath_table,32.99,9.37,13,25,0
"Produto atendeu as expectativas da minha esposa, de ótima qualidade e foi entregue dentro do prazo acordado.",5,1,furniture_decor,189.9,13.77,23,23,0
O produto veio com a solda solta ... quando chegou tive que mandar soldar! ,1,0,garden_tools,144.0,269.0,13,29,0
"",5,1,garden_tools,59.9,13.44,11,22,0
O produto é muito bom de boa qualidade e muito bem feito! Gostei muito!,5,1,bed_bath_table,39.5,15.11,12,27,0
"Produto entregue antes do prazo e muito boa a qualidade, eu recomendo",4,1,garden_tools,99.0,37.99,5,25,0
"",2,0,health_beauty,240.0,13.18,27,18,1
Muito bom. Mercadoria veio bem antes do previsto. Acompanhamento da entrega da mercadoria excelente. Parabéns. Continuem assim.,5,1,cool_stuff,499.9,20.75,8,29,0
"",5,1,sports_leisure,19.9,10.96,7,22,0
Gostei muito é chegou o que eu esperava ,5,1,computers_accessories,67.0,51.19,7,21,0
"Recebi o pedido faltando 1 intem Colar Lol Kindred Os Caçadores Eternos League Of Legends Azu, gostaria que o problema fosse resolvido.",1,0,fashion_bags_accessories,29.99,20.61,5,30,0
"",5,1,computers_accessories,79.0,16.99,25,27,0
muito bom entregaram antes do prazo que a empresa continue assim ,5,1,sports_leisure,109.9,27.09,10,30,0
"Produto entregue antes do prazo, muito bom. ",4,1,telephony,29.99,16.79,12,34,0
"Maravilhoso, e a entrega super rapido, recomendo.",5,1,kitchen_dining_laundry_garden_furniture,48.0,17.6,8,23,0
"",5,1,air_conditioning,24.9,7.71,7,19,0
a descrição do produto é tal qual o site indica.,5,1,cool_stuff,249.9,69.21,11,26,0
"",5,1,bed_bath_table,113.99,15.91,15,21,0
"",5,1,cool_stuff,149.99,12.25,3,17,0
"",5,1,furniture_decor,49.9,11.85,4,21,0
"Entrega dentro do prazo, produto bem embalado e tudo conforme o anúncio.",5,1,bed_bath_table,69.9,19.46,10,38,0
"",4,1,books_general_interest,39.99,8.44,8,15,0
"",4,1,sports_leisure,31.9,11.85,7,20,0
"falta 1 pendente, paguei por 2 e chegou 1",5,1,furniture_decor,38.4,9.34,6,20,0
"",4,1,bed_bath_table,79.9,23.71,9,23,0
"Custo x benefício, vale a pena.",3,0,health_beauty,84.99,20.64,9,27,0
produtos bons...,5,1,bed_bath_table,109.9,15.52,16,26,0
Arranhador encaixou direitinho no sofá minha gatinha usou imediatamente e o barulhinho da bolinha foi um bom atrativo pra ela brincar.,5,1,desconhecida,84.9,25.43,12,26,0
"Entrega no prazo, produto correto! Recomendo",5,1,sports_leisure,41.0,12.79,11,22,0
"Chegou certinho e bem embalado, e teve um bom preço, compraria novamente na loja. ",5,1,computers_accessories,19.9,12.8,4,22,0
O produto é muito bom,5,1,health_beauty,130.0,19.01,11,20,0
"",4,1,pet_shop,41.9,35.48,14,21,0
"Só compro eletrônicos e eletros no stark , nunca tive problemas, as ofertas são feitas com clareza . ",5,1,auto,369.0,25.16,15,32,0
"",4,1,health_beauty,120.0,13.75,5,18,0
"Foi entregue no prazo,produto entregue igualzinho que eu comprei o vendedor é muito responsável ,o produto com muita qualidade e lindooooooo😍 Amei ",4,1,fashion_bags_accessories,28.7,11.85,7,18,0
"",4,1,bed_bath_table,99.9,23.28,23,26,0
"",5,1,garden_tools,59.9,17.67,16,35,0
"",4,1,watches_gifts,189.0,8.19,6,18,0
A experiência da compra foi muito satisfatória.,5,1,baby,30.0,7.78,2,17,0
Recomendo totalmente!!!,5,1,health_beauty,50.75,13.02,4,10,0
PENA QUE VEIO FALTANDO UMA PARTE DA MAQUIAGEM.,3,0,perfumery,35.9,14.1,10,28,0
"Produto simplicidade,e funcional...",3,0,garden_tools,33.0,23.03,9,32,0
Recebi bem antes do prazo final. Recomendo !,5,1,bed_bath_table,109.9,18.02,11,22,0
Rapidez na entrega antes até da data,5,1,health_beauty,55.9,16.96,9,31,0
só acho que eles deveriam usar a msm postagem para entregas de produtos iguais... liberam 2 etiquetas para cobrar 2x o frete ai recebi 1 produto em 1d e o outro 7 dias depois,3,0,sports_leisure,19.49,8.27,4,12,0
estou feliz pois a entrega veio no prazo e o produto certo. parabéns ,5,1,baby,48.9,9.74,3,15,0
"Entrega rapida mesmo para interior, produto correto e de qualidade. Recomendo",5,1,toys,32.9,15.1,12,25,0
"Produto com defeito, após contato com targaryen, aguardando envio de mensagem para troca do mesmo.
",1,0,watches_gifts,108.0,9.77,12,15,0
Apenas uma observação na descrição do produto disse q é 100%algodão o q recebi é 80% algodão somente .e 20%poliester me senti enganada não compraria novamente! ,3,0,bed_bath_table,105.9,13.08,10,22,0
"",5,1,stationery,38.0,12.79,8,19,0
O produto chegou muito rápido! Recomendo!,5,1,baby,225.0,12.6,2,8,0
"",5,1,furniture_decor,8.99,18.23,16,41,0
Produto não foi entregue ainda pelos Correios no último rastreio ainda ta em Florianópolis SC por que foi enviado para o local errado a cidade certa e salvador já entrei em contato com vcs e me pedira,1,0,home_confort,7.9,17.35,71,25,1
Muito o produto... Apenas veio um trincado na parte plástica aonde emenda ... Mas tudo bem,4,1,furniture_decor,69.9,13.08,5,16,0
"",5,1,construction_tools_construction,15.97,18.23,9,14,0
O pedido foi entregue parcial e o vendedor não entrou em contato comigo. Estou aguardando resposta da pág seguro,1,0,health_beauty,59.9,0.13,15,27,0
"",5,1,telephony,39.99,19.04,8,27,0
"Muito bom o produto, só acredito que como defesa não é eficaz. Mas vale a pena ter.",4,1,sports_leisure,65.0,25.73,9,30,0
Chegou antes do previsto!,4,1,telephony,29.9,15.1,14,28,0
Ótimo cobertor; e lindo; excelente qualidade; comprei 1 p mim; dei 1 p minha mãe; e p minha tia; mto confortável e quente. Entregue antes do prazo. Mto satisfeita. ,5,1,bed_bath_table,148.9,21.88,16,24,0
"Recomendo 









",5,1,bed_bath_table,109.99,16.4,7,20,0
"",5,1,health_beauty,97.65,15.43,27,26,1
"",3,0,watches_gifts,219.0,16.28,18,26,0
Comprei o produto no sábado a tarde e recebi na terça de manhã. ,4,1,health_beauty,429.0,15.0,3,19,0
"Falta a entrega ainda do outro de um outro gancho, só recebi um",2,0,furniture_decor,47.4,15.1,12,26,0
"Ainda não tenho totalmente como avaliar a loja, uma vez que o produto foi entregue muito quebrado e não sei como será solucionado o problema.",1,0,musical_instruments,1350.0,294.76,10,20,0
O produto chegou no prazo estipulado e em perfeito estado.,5,1,sports_leisure,116.9,23.14,17,24,0
"excelente vendedor, produto de qualidade, chegou tudo certo e antes do prazo, Super recomendo!!!",5,1,perfumery,52.99,25.65,7,32,0
Só sugiro que coloquem as medidas no site!,4,1,pet_shop,41.99,11.73,12,18,0
"",5,1,sports_leisure,38.98,9.94,5,12,0
"Recomendo este produto chegou antes do prazo e atendeu as minhas expectativas,",5,1,watches_gifts,55.0,23.11,21,26,0
muito bom mercadoria entregue antes do prazo e do jeito que pedimos,5,1,watches_gifts,105.0,29.99,13,34,0
"",4,1,watches_gifts,95.0,15.42,24,28,0
Microfone nao tem o desempenho esperado ,2,0,musical_instruments,28.0,19.32,11,30,0
"olhando no site parece ser preto e branco, porém quando recebi percebi que as cores eram cinza e preto.",4,1,bed_bath_table,52.82,2.69,13,35,0
"",5,1,sports_leisure,18.0,7.87,4,10,0
"",1,0,computers_accessories,63.9,11.06,8,26,0
"",5,1,bed_bath_table,124.99,133.48,13,28,0
"",5,1,electronics,34.9,15.11,13,20,0
Gostei muito exatamente o que eu estava precisando.,5,1,computers_accessories,69.9,18.07,7,17,0
O kit de cloreto de magnésio vale mais a pena do que comprar individualmente nas farmácias e drogarias.,4,1,health_beauty,60.99,27.49,25,33,0
Produto de qualidade e chegou muito rápido! Recomendo!,5,1,luggage_accessories,69.9,16.93,7,22,0
"Recebi apenas 1 memória quando deveriam ser duas. Quero devolver o produto, vou comprar de outro lugar q me garanta a entrega das duas juntas.",2,0,computers_accessories,208.0,16.22,14,28,0
O melhor custo benefício que encontrei,5,1,sports_leisure,91.0,15.85,10,22,0
"",5,1,health_beauty,1050.0,338.3,32,45,0
"Atendimento excelente, agradeço a funcionária Maria Eduarda da Equipe targaryen, pelo esclarecimento de dúvidas.",5,1,small_appliances,899.9,28.8,30,45,0
O produto não funciona e não é o que está descrito no site para compra.,1,0,audio,19.9,14.1,12,21,0
produto com defeito. ,1,0,computers_accessories,79.9,18.44,24,30,0
Atendimento péssimo das lojas lannister tambem. Produto incompleto.nao merece nenhuma estrela.,1,0,furniture_decor,169.0,22.0,29,46,0
"",5,1,perfumery,56.99,34.2,13,34,0
Os produtos são ótimos!,5,1,health_beauty,110.4,18.02,5,28,0
"Pedi o produto errado, solicitei autorização para devolução, até agora sem resposta.",4,1,watches_gifts,224.0,52.07,33,32,1
Comprei 3 unidades e recebi apenas 1.,1,0,health_beauty,29.0,18.3,8,23,0
Eu amei muito obrigada ,5,1,cool_stuff,215.0,13.41,8,18,0
"",5,1,toys,139.99,17.17,7,28,0
"",5,1,cool_stuff,44.99,7.78,2,13,0
